"Compartment","Plant_sample","Seq_ID","gRNA","Cas9","Cycle_No","merged","filtered","derep","derep_ratio","chi_No","chi_ratio"
"Root","Root_1","2OsRE1_1","gRNA1048","Yes",15,167052,124786,61945,0.4964098537,21639,0.173408875995705
"Root","Root_2","2OsRE1_2","gRNA1048","Yes",15,177539,136617,62141,0.4548555451,30534,0.223500735633194
"Root","Root_3","2OsRE1_3","gRNA1048","Yes",15,147577,115562,55425,0.4796126754,23649,0.204643394887593
"Root","Root_1","2OsRE2_1","gRNA1171","Yes",15,167760,128518,63953,0.4976190106,22534,0.175337306836396
"Root","Root_2","2OsRE2_2","gRNA1171","Yes",15,171343,132158,60687,0.4592003511,29824,0.225669274656093
"Root","Root_3","2OsRE2_3","gRNA1171","Yes",15,139915,103950,52413,0.5042135642,21338,0.205271765271765
"Root","Root_1","2OsRE3_1","gRNA1196","Yes",15,167000,130717,66282,0.5070648806,23170,0.177253149934592
"Root","Root_2","2OsRE3_2","gRNA1196","Yes",15,167427,128725,58141,0.4516682851,28551,0.221798407457759
"Root","Root_3","2OsRE3_3","gRNA1196","Yes",15,159698,123539,60932,0.4932207643,25873,0.209431839338185
"Root","Root_1","2OsRE3_4","No","No",15,142194,100701,22494,0.2233741472,12591,0.125033515059433
"Root","Root_2","2OsRE3_5","No","No",15,175734,130506,34639,0.2654207469,24567,0.188244218656613
"Root","Root_3","2OsRE3_6","No","No",15,155933,104131,26308,0.2526433051,16468,0.158146949515514
"Soil","Soil_1","bS1_1","gRNA1048","No",24,463996,408811,363375,0.8888581765,19352,0.0473372781065089
"Soil","Soil_2","bS1_2","gRNA1048","No",24,490424,439948,389121,0.8844704374,4923,0.0111899588133143
"Soil","Soil_3","bS1_3","gRNA1048","No",24,400094,353627,315277,0.8915523984,3991,0.0112859029429314
"Soil","Soil_4","Bs1171_1","gRNA1171","Yes",24,365786,318308,288837,0.9074135743,21396,0.0672179147241037
"Soil","Soil_5","Bs1171_2","gRNA1171","Yes",24,285107,246377,222425,0.9027831332,17197,0.0697995348591792
"Soil","Soil_6","Bs1171_3","gRNA1171","Yes",24,519825,450182,380449,0.845100426,6304,0.0140032253621868
"Soil","Soil_4","Bs1171_4","gRNA1171","No",24,587095,526711,454254,0.8624349976,14331,0.0272084691605074
"Soil","Soil_5","Bs1171_5","gRNA1171","No",24,490311,426919,374745,0.8777894636,11660,0.0273119725287467
"Soil","Soil_6","Bs1171_6","gRNA1171","No",24,614150,542533,472626,0.8711470086,29598,0.0545552067800484
"Soil","Soil_7","Bs1196_1","gRNA1196","Yes",24,556303,488181,431098,0.8830700089,32683,0.0669485293364551
"Soil","Soil_8","Bs1196_2","gRNA1196","Yes",24,462435,404715,361749,0.8938364034,24215,0.059832227616965
"Soil","Soil_9","Bs1196_3","gRNA1196","Yes",24,71382,64326,43125,0.6704132077,32804,0.509964866461462
"Soil","Soil_7","Bs1196_4","gRNA1196","No",24,77414,70246,45582,0.6488910401,27115,0.386000626370185
"Soil","Soil_8","Bs1196_5","gRNA1196","No",24,63236,56769,41751,0.7354542092,20914,0.368405291620427
"Soil","Soil_9","Bs1196_6","gRNA1196","No",24,53494,40705,13157,0.3232281047,3783,0.0929369856283012
"Soil","Soil_1","C_BS1_1","gRNA1048","Yes",24,58083,51151,34222,0.6690387285,15605,0.305077124591895
"Soil","Soil_2","C_BS1_2","gRNA1048","Yes",24,75703,68161,43056,0.6316808732,13376,0.196241252329044
"Soil","Soil_3","C_BS1_3","gRNA1048","Yes",24,60417,53254,38621,0.7252225185,11093,0.208303601607391
"Root","Root_1","OsRE1_1","gRNA1048","Yes",8,132253,98123,31811,0.3241951428,17241,0.175708039909094
"Root","Root_2","OsRE1_2","gRNA1048","Yes",8,136490,104899,31508,0.3003651131,15436,0.147151069123633
"Root","Root_3","OsRE1_3","gRNA1048","Yes",8,138219,106722,31229,0.2926200783,7884,0.0738741777702817
"Root","Root_1","OsRE2_1","gRNA1171","Yes",8,126488,94600,31743,0.3355496829,17825,0.188424947145877
"Root","Root_2","OsRE2_2","gRNA1171","Yes",8,150205,113975,33717,0.2958280325,16189,0.142039921035315
"Root","Root_3","OsRE2_3","gRNA1171","Yes",8,144105,110080,34924,0.3172601744,10332,0.093859011627907
"Root","Root_1","OsRE3_1","gRNA1196","Yes",8,111564,77875,26486,0.3401091493,14349,0.184256821829856
"Root","Root_2","OsRE3_2","gRNA1196","Yes",8,155904,124027,34474,0.2779556064,9829,0.0792488732292162
"Root","Root_3","OsRE3_3","gRNA1196","Yes",8,157215,125934,35901,0.2850778979,4680,0.0371623231216351
"Root","Root_1","OsRE3_4","No","No",8,133350,95944,20797,0.2167618611,5138,0.0535520720420245
"Root","Root_2","OsRE3_5","No","No",8,130285,94744,23163,0.2444798615,4088,0.0431478510512539
"Root","Root_3","OsRE3_6","No","No",8,134728,96018,18624,0.1939636318,3447,0.0358995188402175
